
128.0,275.0,0
130.0,259.0,0
119.0,217.0,0
120.0,173.0,0
153.0,127.0,0
201.0,100.0,0
288.0,84.0,0
373.0,67.0,0
443.0,66.0,0
526.0,76.0,0
554.0,85.0,0
595.0,131.0,0
650.0,221.0,0
696.0,330.0,0
705.0,364.0,0
681.0,421.0,0
642.0,493.0,0
560.0,520.0,0
452.0,554.0,0
424.0,573.0,0
352.0,575.0,0
276.0,569.0,0
216.0,545.0,0
134.0,521.0,0
102.0,445.0,0
125.0,388.0,0
130.0,324.0,0
125.0,291.0,0
123.0,319.0,0
129.0,359.0,0
124.0,377.0,0
109.0,407.0,0
109.0,454.0,0
122.0,496.0,0
146.0,520.0,0
187.0,547.0,0
257.0,559.0,0
373.0,579.0,0
409.0,575.0,0
444.0,556.0,0
536.0,560.0,0
581.0,538.0,0
606.0,513.0,0
662.0,497.0,0
683.0,421.0,0
690.0,332.0,0
706.0,276.0,0
683.0,211.0,0
653.0,169.0,0
410.0,154.0,1
386.0,148.0,1
329.0,147.0,1
282.0,164.0,1
260.0,195.0,1
247.0,262.0,1
221.0,310.0,1
212.0,349.0,1
231.0,402.0,1
258.0,448.0,1
333.0,467.0,1
412.0,467.0,1
468.0,459.0,1
535.0,448.0,1
585.0,416.0,1
605.0,386.0,1
597.0,319.0,1
550.0,223.0,1
510.0,182.0,1
459.0,165.0,1
445.0,162.0,1
485.0,182.0,1
534.0,217.0,1
566.0,256.0,1
584.0,287.0,1
596.0,322.0,1
597.0,352.0,1
589.0,385.0,1
583.0,410.0,1
533.0,435.0,1
491.0,442.0,1
454.0,440.0,1
376.0,456.0,1
327.0,460.0,1
297.0,449.0,1
267.0,437.0,1
410.0,297.0,2
397.0,295.0,2
389.0,309.0,2
388.0,323.0,2
393.0,326.0,2
404.0,322.0,2
409.0,316.0,2
407.0,309.0,2
400.0,312.0,2
400.0,316.0,2
410.0,319.0,2
419.0,313.0,2
425.0,298.0,2
423.0,287.0,2
410.0,281.0,2
393.0,277.0,2
379.0,277.0,2
366.0,280.0,2
364.0,305.0,2
383.0,313.0,2
382.0,293.0,2
382.0,293.0,2
376.0,300.0,2
375.0,307.0,2
376.0,309.0,2
396.0,319.0,2
429.0,333.0,2
432.0,324.0,2
